D2C1EDFC-9084-3FF2-B737-565E67FA59C9
1) 79419598D0733AA9BC988F218BB762, 50p, 30j (13-11-6), 19s (65-46)
5) 79AB8F6EEDF23031A05C789E053B79, 174p, 119j (49-27-43), 2s (253-251)
6) B47AFB4C0D2334A6B1494558A3A63D, 174p, 140j (49-27-64), -16s (267-283)
7) 0A8B190D3C21364AACF5941AD4E884, 156p, 105j (44-24-37), 19s (231-212)
8) EC0E6704C565384FA626F444259FE9, 139p, 121j (38-25-58), -37s (217-254)
9) 0FDDA59CE04D3F8993D63EBFEC8F4F, 135p, 102j (39-18-45), -23s (178-201)
10) CD1280801AE13B499FAE904A3EC3C7, 122p, 104j (31-29-44), -16s (184-200)

F6849E31-6CD1-34C1-9B9E-6F76D72005CC
1) D5444A3DFAA935CA9EFCF8AC28AA47, 251p, 167j (72-35-60), 13s (325-312)
2) 5B04BDA988903485BA9DDD2F56A0AB, 250p, 171j (73-31-67), 13s (330-317)
3) A8EBF61BF87F32B8902132E16592CB, 246p, 178j (68-42-68), 18s (372-354)
4) 82B5D01BA1B93DA5B6EEEE1BF96276, 245p, 160j (71-32-57), 40s (333-293)
5) 5D3EE3ACF99E3C3BB9691635960209, 243p, 172j (68-39-65), -12s (342-354)
6) 843170995BF031D18B1A6073B03D9D, 235p, 184j (63-46-75), -28s (330-358)
7) 056D4766FBFF3C8AB4FC4DA05A8C75, 228p, 171j (65-33-73), -43s (317-360)
8) 365633E2DAB63A6D8C48DD9D2EE0A0, 225p, 171j (66-27-78), -7s (335-342)
9) 29412AC0851339ACA2BAB32ABE150D, 220p, 163j (64-28-71), -13s (325-338)
10) 6BAE1C47E8F731248175BF796E9386, 213p, 155j (61-30-64), -18s (284-302)
11) 42DAF126D9D13F83B23431849FB418, 212p, 144j (61-29-54), 37s (305-268)

E7B9AAD6-B7C0-3326-BCB0-3EAA499E3F96
1) A14A542DE8343C00BDB8695ED61127, 506p, 350j (145-71-134), 6s (668-662)
2) 0EAAE3DE2C3E366E853DDA101D4856, 480p, 346j (139-63-144), -12s (642-654)
3) F66C3AD4048D3D239FA3F819A371AC, 475p, 346j (135-70-141), 6s (709-703)

1A633BAD-A925-3C8B-B1EF-CD12DF48F018
1) 383918758C123358B3B4241389EFDE, 84p, 46j (24-12-10), 27s (109-82)
2) D354AD1A9BE43651B40326006A7DB7, 81p, 55j (24-9-22), 0s (113-113)
3) 435A3D30C968323EB1EC0ADED790A4, 80p, 53j (22-14-17), 15s (116-101)
4) 0546EC0F4E1830559B308C186AD00C, 76p, 49j (23-7-19), 5s (82-77)
5) 270BFA5B9255310E83B53AEABA1746, 75p, 44j (22-9-13), 26s (97-71)
6) BF2B7EABC871372EB8429F11FD6B3A, 72p, 41j (21-9-11), 20s (94-74)
7) BFCEA0D6ED9B3A2C91EA9A91D8B0F8, 71p, 45j (22-5-18), 22s (102-80)
8) 288FFC41082E38BC9D1C07ECCED01B, 68p, 49j (20-8-21), 3s (105-102)
9) F7166A2D7FC235B28E261D061E4992, 68p, 50j (20-8-22), -5s (99-104)
10) 36226603027A38D0A9DC31C44BA8DE, 67p, 53j (20-7-26), -21s (91-112)
11) F1A4BDC492EB3D47AE17447F4A3930, 67p, 50j (16-19-15), 6s (97-91)
12) 8BE961F658A734E9BE6373F09FE8FB, 66p, 48j (19-9-20), 0s (90-90)
13) AEA6BD99E39B3CA1B8AD67A4E50AD4, 63p, 50j (17-12-21), -12s (95-107)
14) 9E995EF865C43AE7922C18FFA87785, 61p, 54j (16-13-25), -21s (86-107)
15) 2227425C32933F0C99DB47E41E62EA, 60p, 45j (18-6-21), 1s (90-89)
16) 9FC9B10F2AC93A24BF2101441F53EA, 60p, 45j (18-6-21), -1s (77-78)
17) DB7BB18D2C0635418A19F296FDF643, 59p, 43j (18-5-20), -15s (73-88)
18) D9049630A59D3DFCBA3F112A4C36E6, 59p, 39j (17-8-14), 6s (78-72)
19) 437EA0E89B6E315DB8C158598C85D6, 55p, 34j (17-4-13), -6s (57-63)
20) 02CC3D76A58939988D9A00189EA8CD, 54p, 47j (13-15-19), -14s (79-93)
21) 4331CA020757328794682B7F9A7D38, 47p, 38j (11-14-13), 4s (71-67)
22) BC0B80D815AA340AB3BC4A451B7708, 46p, 36j (12-10-14), -2s (62-64)
23) BB74456D327B381F90E85F2407CDF9, 45p, 40j (12-9-19), -10s (75-85)
24) 571A38A261DE3D428EB39EE92B5F3E, 42p, 36j (11-9-16), -18s (57-75)
25) 39933431AD453D129EA783379BC43B, 34p, 28j (9-7-12), -10s (49-59)

58B588FF-E5B4-3D06-B18D-4959625318E7
1) 94281A41278A3B309A1002A5316A8D, 932p, 640j (264-140-236), 42s (1327-1285)
2) 4E24BDA986393DE68617D01CD14D50, 874p, 644j (245-139-260), -9s (1270-1279)
3) 60362409128833E8BFFCD39C0ADEE0, 871p, 636j (248-127-261), -33s (1281-1314)

AF0299A8-D8DD-3268-9063-D657EF6B6438
1) E28C897F2B0F3F69882F7D1562BFCB, 274p, 163j (81-31-51), 45s (356-311)
2) 527BEF09C21C3C37BBE3C3255F5D9E, 237p, 171j (68-33-70), -16s (346-362)
3) E3DE7E84A83332A291DF7DC51B84C1, 228p, 173j (63-39-71), -6s (328-334)
4) 4CF983F2277F382399CE37AD2E4B00, 227p, 153j (64-35-54), 30s (327-297)
5) 5BD1696B5B76397897A7A451410EBF, 225p, 163j (63-36-64), 15s (335-320)
6) 4019FB90ABB93410AFA07EC60FD171, 220p, 148j (63-31-54), 1s (320-319)
7) 31E00E1A8FAA3B78A351C89810B739, 216p, 169j (59-39-71), -31s (314-345)
8) BE1E6F1A4CF5314E8BBB8ED3FBF6FE, 214p, 143j (62-28-53), 17s (307-290)
9) F59C7C0D35D13C4FBCCD2793599101, 206p, 144j (59-29-56), 9s (314-305)
10) B5B03AD6EC863C889A85B4C16289CF, 198p, 159j (55-33-71), 5s (328-323)
11) 1A2508A3D0453B818F8D6C6340F7EF, 190p, 160j (52-34-74), -69s (296-365)

5451EE82-61B4-3178-B67D-458D61F1DBAF
1) 6D5798F40E2B32FBA7EE01716FB18B, 73p, 41j (22-7-12), 32s (100-68)
2) A4BF9D68AEF93028A6EE6FCAE80059, 65p, 46j (20-5-21), 11s (94-83)
3) 00480B06DB8A3C00ADE0C5A472136C, 54p, 38j (16-6-16), 9s (86-77)
4) DBD5D0F5469E3D07A63BAE1E597636, 54p, 40j (16-6-18), -5s (69-74)
5) 7A1DCEFCF7CA30A5B0F617B0DB0187, 50p, 30j (14-8-8), 14s (63-49)
6) AF37673531CA3F85812E60C75D066A, 49p, 33j (15-4-14), -7s (53-60)
7) 0CC0304731F63C67894D702A9768A2, 49p, 30j (14-7-9), 8s (60-52)
8) 58BBD861516F34608D2395A9233457, 48p, 27j (14-6-7), 14s (57-43)
9) FBB11B9AA9DD39AC8F6F3744C9581A, 48p, 32j (14-6-12), 12s (65-53)
10) CDD3FEFBDE0435738270FFF46203AC, 47p, 32j (15-2-15), -2s (55-57)
11) 4589A1F93FC93209A24DE09DDF7C00, 47p, 28j (14-5-9), 12s (70-58)
12) 8A85E0ADC44132AB8A4B2F4CD5E4AA, 47p, 33j (14-5-14), 3s (73-70)
13) C5F1041D7F32314BA587463ACEA17C, 45p, 27j (14-3-10), 2s (56-54)
14) F220E8F536473BEBB2E062FCC63684, 42p, 29j (12-6-11), -4s (53-57)
15) 2FAF74BA3096379F9D9AF6057515DF, 41p, 36j (11-8-17), -20s (50-70)
16) F6FCBCDC71503361BCC99BC9F3B1B9, 39p, 39j (11-6-22), -29s (52-81)
17) 5BF307D1D89739C3B6AA2C3F9CAB90, 36p, 28j (11-3-14), 1s (51-50)
18) CCDCB0420F383DB090F2E7453DA49D, 36p, 28j (10-6-12), -11s (46-57)
19) FDD5A9B4DD633CC3B352800E6EE800, 33p, 26j (10-3-13), -9s (48-57)
20) AE9AD57974A63103B016312BB3A27C, 32p, 32j (9-5-18), -18s (59-77)
21) 162091088C53395B8B983974B6EC99, 30p, 25j (9-3-13), -13s (33-46)

F8972D46-99D1-3C06-8E1D-BC062E93044C
1) 0FD75622ED6A37BD9974E15C6364D2, 75p, 50j (21-12-17), 6s (110-104)
2) BD804CBF95BD3CDEAD4F5BD63F5732, 73p, 49j (20-13-16), 3s (113-110)
3) F8DB2BC2A8243AE4A75813F21D4309, 71p, 56j (20-11-25), -14s (98-112)
4) C8DD339A52AF31799726DBC994F432, 68p, 49j (21-5-23), 4s (103-99)
5) 2E5D2B0971E03F129257065196C070, 67p, 48j (20-7-21), 3s (99-96)
6) 91262ACA6A1D350081440976D3C2F8, 67p, 46j (20-7-19), 1s (101-100)
7) CF33D09C0551368F9CEE7DF048E7F4, 65p, 36j (19-8-9), 18s (76-58)
8) C7462039E7013E179F1C0B4C17BE49, 63p, 39j (19-6-14), 16s (94-78)
9) A688B6E8E42A3B0189201361983BC5, 61p, 41j (17-10-14), 5s (81-76)
10) 04250F46428539EC994AADB9B652DD, 61p, 47j (17-10-20), -7s (99-106)
11) F5493D61BC7C32368335639DD9FBFB, 55p, 35j (17-4-14), 6s (62-56)
12) 5EE14B6CEB5E352BBB188AE7E5E52E, 45p, 39j (12-9-18), -14s (68-82)
13) 9BA15ABDDECC3012951E889F514D9D, 37p, 29j (10-7-12), 0s (58-58)
14) 3EADDE120AA73C45AAC2373C932475, 35p, 38j (8-11-19), -27s (55-82)

B806A34B-29A0-33C7-B4DA-4CFFBB621E3A
1) 858C9EAD5EB437508A9C4BCDB86712, 57p, 35j (18-3-14), -4s (67-71)
2) FCE2E32AFC6438F2A89679D4A4E309, 53p, 34j (15-8-11), 16s (72-56)
3) 010D171C37CF3D16870FB68B25726D, 51p, 31j (16-3-12), 12s (60-48)
4) CE70948D88D9333EB7192AB5E39CDB, 50p, 36j (15-5-16), -9s (69-78)
5) AC7231FF165B3BDDA696D229D2C693, 48p, 35j (14-6-15), 4s (77-73)
6) FA03700F536A3B23BC80150F71C112, 47p, 36j (12-11-13), 2s (71-69)
7) CA851F9263D739AFB5B1B4B263A546, 46p, 30j (14-4-12), 4s (67-63)
8) 4BCB9ADCDB9F36BD867E6158989EB0, 46p, 34j (13-7-14), -6s (64-70)
9) 68EE0ABC806335879454B4634D402D, 45p, 29j (14-3-12), 4s (62-58)
10) F9F21B0462B83655B37C7CB3E2FFD0, 41p, 26j (12-5-9), 4s (58-54)
11) 77293318ACD83DA69C5DE4D29C0BEE, 39p, 32j (11-6-15), -3s (60-63)
12) 4FC579163F5133C5A4F69B51E92CFA, 37p, 31j (12-1-18), -13s (51-64)
13) 80C7D1999AA931179612AE61DFDEA0, 30p, 17j (9-3-5), 9s (49-40)
14) E41A596883F93CF6A6F9FAFC33C769, 20p, 24j (5-5-14), -20s (36-56)

51389A0E-A939-30F2-BCCD-C338F4B9CE1A
1) A6C3AF128BEF317089F751F2BE77AC, 52p, 30j (15-7-8), 25s (70-45)
2) C4172A1802AD3B44A6376131C10A00, 47p, 27j (14-5-8), 9s (48-39)
3) 4FB848FC57C73616B49C122D9AD5EE, 47p, 29j (13-8-8), 1s (55-54)
4) FA2011B8F7BF38E4BC723BDA75CC21, 42p, 24j (13-3-8), 5s (44-39)
5) 8636F7E291593D65B9F133ED43B1E1, 42p, 24j (12-6-6), 14s (53-39)
6) 0E0E563ABC1A3CCB85CA1771B47317, 42p, 25j (12-6-7), 13s (62-49)
7) 9AE27C2DB9003433877E041FD4CE71, 40p, 28j (12-4-12), -7s (48-55)
8) 4558C254D5FF3186AAB8A428790DA1, 38p, 27j (11-5-11), -2s (43-45)
9) 26132608A3B334F8AFAFA01BA0C129, 37p, 25j (11-4-10), 5s (48-43)
10) 86703A4309433510A3B996D338F37A, 32p, 26j (8-8-10), -7s (52-59)
11) 0FBE3834816134B38C234792A92E46, 32p, 29j (8-8-13), -8s (50-58)
12) FAAE36EC2A0737DAA210B780784A6C, 31p, 22j (9-4-9), 10s (47-37)
13) 88CDB8FC607B3B319D2DEA08765629, 30p, 30j (7-9-14), -16s (57-73)
14) B98339B6B0DC3B71B8F073BECEF068, 29p, 17j (8-5-4), 1s (33-32)
15) 63D30330F3A0390D9D7E19273D6247, 29p, 21j (8-5-8), -5s (41-46)
16) 171EA330FB9A3638934BF8B9051BBD, 28p, 17j (9-1-7), 6s (40-34)
17) A8200D2DF01D3D2D8517878AE5796C, 28p, 20j (8-4-8), -4s (35-39)
18) ED7A2A27E5BC34B9BF22EFA5446184, 27p, 18j (8-3-7), 3s (38-35)
19) 4636E6A6730830509342B6A160E63A, 25p, 19j (7-4-8), 1s (39-38)
20) 18D66FF1D2E630B994009619EFA6CF, 25p, 19j (6-7-6), 5s (40-35)
21) 30964627B9283EF581E606C322AC62, 23p, 19j (7-2-10), -10s (34-44)
22) 169B7FFE4A853CCBAAC12CFD0051F4, 23p, 24j (6-5-13), -16s (46-62)
23) C4884BFBD865384D830EFCE714636B, 22p, 26j (4-10-12), -11s (38-49)
24) 0DCBCC2EEE0135659C34E9E3776BE6, 19p, 19j (5-4-10), -8s (42-50)
25) 7B6C141683AD3B1A8589C14B295E09, 15p, 15j (4-3-8), -4s (27-31)

1423F292-75B6-3079-B90D-A9303E467A21
1) C1E44C1A1C693125B6312A11E35ABA, 19p, 10j (6-1-3), 8s (26-18)
2) 9292B783EB2D3C49A2890735A993A3, 19p, 9j (6-1-2), 4s (22-18)
3) 98DDB64DBF9F30919854C017363ABC, 16p, 8j (5-1-2), 7s (21-14)
4) C5C96214407E3B6281CF440A83A7E3, 15p, 7j (5-0-2), 7s (14-7)
5) C447EE2034B3395CB03E8BAB0AD263, 15p, 12j (4-3-5), -1s (26-27)
6) 1CB16B8A39953E57A4F0825C292620, 14p, 9j (4-2-3), -2s (17-19)
7) 9EAFCD3408CA3931B55E2CD5D8CDC9, 13p, 8j (4-1-3), 4s (16-12)
8) 7DE4E589C4D23ED2A96FC3B10AD5F0, 12p, 8j (4-0-4), -1s (14-15)
9) 49151B04E5DA33D490B598F7A647B1, 12p, 10j (3-3-4), 2s (26-24)
10) 789BCBE0B71F3FE9B1271626938F6A, 11p, 10j (3-2-5), -5s (19-24)
11) 79091FAADD113BBE98BA5AB7FC87CF, 10p, 8j (3-1-4), 2s (14-12)
12) 6AFFBC330A71360696070F5F62FC55, 10p, 6j (3-1-2), 2s (13-11)
13) 86A433891A293A4E823F6D78F3C013, 10p, 5j (3-1-1), 2s (11-9)
14) DAE3D700E2A13986B8936056451F02, 10p, 7j (3-1-3), 1s (18-17)
15) 84C78D2B9C6F3547854FDBADF77BEA, 9p, 9j (3-0-6), -10s (14-24)
16) E0B6AB20F80838D1959129C070B70B, 8p, 7j (2-2-3), 0s (12-12)
17) EC69484303DE347AAAA878DAEAF5DF, 8p, 8j (2-2-4), -5s (16-21)
18) 85F96F99792D3C6AA1DA141ACA6E02, 8p, 9j (2-2-5), -6s (17-23)
19) A14F3156C1AA3ABAA59E9738B21362, 7p, 7j (2-1-4), -4s (15-19)
20) EA90EF2E75413DB99724324CC73EA4, 5p, 4j (1-2-1), 0s (6-6)
21) CF4D1A46F71A3057A7EBDD7744006D, 4p, 5j (1-1-3), -5s (6-11)

AD6088C4-89CB-3AB5-A5CA-43991864AA5E
1) 8169E19ACFE53CCCB63B4C7117E74F, 170p, 111j (50-20-41), 22s (239-217)
2) DEFCD4439ABE31568D3CAFF1F2E8FA, 167p, 110j (46-29-35), 17s (215-198)
3) 86AA0C3B80E2386BA4E3C01675B475, 158p, 106j (43-29-34), 20s (228-208)
4) A6E51AFA34F234ECAF0A7DB86F31C6, 145p, 104j (41-22-41), -4s (212-216)
5) 53BE95B3D78737F6AB617286AC7E87, 142p, 108j (40-22-46), -9s (204-213)
6) 1E27AA586AA73D8CA68225978A6B67, 138p, 107j (37-27-43), -10s (229-239)
7) FA7F83FAAC383DF1A3952AC463F6DB, 137p, 114j (40-17-57), -36s (207-243)

9AD36F3E-7CDE-3B0B-B0D2-CCB10B674C58
1) D25B152F5D493916B52D55077CE3AB, 168p, 112j (52-12-48), 10s (221-211)
2) 23B0CA18CDAD3E9484090FE833DFA8, 162p, 115j (46-24-45), -6s (215-221)
3) BA5CA0FA940A377D8526D378187F36, 155p, 107j (44-23-40), 19s (238-219)
4) 19328CFE93C23B1F8145D79B6444F6, 155p, 117j (41-32-44), -16s (217-233)
5) B0FD218FBF823851A680F806478B36, 149p, 113j (41-26-46), -13s (231-244)
6) 360A9EACF6833179BD66F2267C1EC4, 148p, 111j (40-28-43), -15s (220-235)
7) 6320F083CEF13713A32381AA36445B, 142p, 91j (41-19-31), 29s (186-157)
8) B2BF16F9625E3BFCB951CA63752F30, 141p, 105j (36-33-36), 20s (223-203)
9) 594AEBDF6E53344982259C4E06ACF6, 140p, 98j (39-23-36), -6s (183-189)
10) 5C655E70CB643AA69CA8AE0C1646C0, 133p, 96j (38-19-39), 4s (179-175)
11) 07DBF1142B373158890304A75715F4, 125p, 93j (35-20-38), -14s (168-182)
12) 6C2E9D7A041837F6868EC78C33BB0A, 120p, 94j (33-21-40), -12s (182-194)

DAB4ADFD-0D78-37C4-A6B9-8D9F522579C7
1) 3DB329732F113163BDE6B82990838D, 53p, 28j (15-8-5), 23s (76-53)
2) BE248A3CEC7D3BFEBD078DD3912892, 40p, 22j (12-4-6), 8s (47-39)
3) FCF67A56D148312DA97A07E4823AD9, 39p, 23j (12-3-8), 8s (50-42)
4) B1D23C82800A33C6A4FDDE3AE56F50, 31p, 23j (8-7-8), 4s (51-47)
5) 80D20059BDAE3824B1813D674F2A01, 29p, 16j (9-2-5), 10s (35-25)
6) E6FD71D7A0D63972A33D1FC7896A3E, 27p, 14j (8-3-3), 4s (23-19)
7) 06CCE49EECE53F7A8DB6499E234993, 27p, 19j (7-6-6), 1s (39-38)
8) 6D5DC76F4356315FBE9DA5A73A8D82, 26p, 17j (8-2-7), 7s (40-33)
9) 3288A3A37D54318EA2796B4CE53FB2, 26p, 17j (7-5-5), 12s (38-26)
10) F044ACA0F3B2384C9693E845F1A1F8, 25p, 19j (7-4-8), -4s (46-50)
11) 69C50DECC2B83B14BB0AFA897863D1, 25p, 19j (7-4-8), -11s (36-47)
12) B822A45B11893784A9680752B387AA, 24p, 18j (7-3-8), 2s (39-37)
13) F1ECAD4D8EAF358481409B834C8FCF, 23p, 17j (6-5-6), -1s (28-29)
14) BB2966D89C7E3BC6AD2E82E6AB8ACC, 20p, 11j (6-2-3), 3s (28-25)
15) 5895FE9477B33207A6E430F18662A8, 20p, 16j (6-2-8), -5s (32-37)
16) B64F5BA85ECE35A5AA45BDD20E3BE0, 20p, 17j (6-2-9), -7s (34-41)
17) B6BEA44A3BEA30F496BEA2D4AC3C18, 19p, 13j (5-4-4), 5s (24-19)
18) 0B21B4183B9E34EE887FD6E732BFC7, 19p, 16j (5-4-7), -5s (29-34)
19) DA7745F40A8D36B9918897C7B27C67, 17p, 16j (5-2-9), -7s (28-35)
20) 4B51B4FBCD6F3463985653412A9340, 16p, 14j (5-1-8), -8s (18-26)
21) 61B2C23D3BE838FE900FEDD5452E03, 15p, 11j (5-0-6), 3s (24-21)
22) 2946DE4A3E263E7381CB9A12EB762E, 15p, 13j (4-3-6), -6s (27-33)
23) E548FDADDE7D3A1BAEF3B5D08AFD30, 14p, 18j (4-2-12), -15s (27-42)
24) E9631A8E8F753087B1AD39AB665A4E, 13p, 13j (4-1-8), -5s (20-25)
25) 78F747F0FADA3A62895EF9A1AC54CF, 9p, 12j (2-3-7), -16s (14-30)

D492C986-145A-3B3B-ACAA-57BC4B163FF1
1) 986CD149FCB63221ACC645C5D5F58E, 55p, 36j (17-4-15), 15s (78-63)
2) FA46016644253B68803DC5D0643F95, 55p, 34j (17-4-13), 3s (68-65)
3) 11E3EBA6BF6036F0B98057296FC187, 54p, 35j (16-6-13), 5s (84-79)
4) E98910CDF45B3C549CB81C1611965E, 51p, 32j (15-6-11), 11s (77-66)
5) E2B4FE3EB8363165B64AE54D771726, 44p, 32j (13-5-14), -5s (65-70)
6) 027305165D913F7C9068143F208F6C, 43p, 29j (12-7-10), 0s (58-58)
7) 36573523690638E29DF61B18376CBF, 42p, 22j (13-3-6), 16s (50-34)
8) 3E78E08477333BBE9F2EB3C3580677, 42p, 28j (13-3-12), -2s (57-59)
9) 34466D67559F32DBB64AE930C7973A, 42p, 30j (12-6-12), 1s (57-56)
10) 9C9D527620B13515A4F7C836283448, 40p, 28j (12-4-12), 0s (47-47)
11) D8C37EFDF5AB35E5BA1DC172C9CFBF, 35p, 30j (10-5-15), -11s (50-61)
12) 5F1B9E11504F3B7BBED1C6C73D6F0A, 33p, 25j (9-6-10), -4s (47-51)
13) 0EA66602A0393953B3D719FF17DDA1, 33p, 29j (8-9-12), -8s (59-67)
14) 90E9B70E92C23E268DEF5B8FB21281, 32p, 27j (9-5-13), -5s (49-54)
15) 30340F5796F53F3986D3DDE42A0C59, 28p, 27j (9-1-17), -16s (47-63)

F65F32F2-BCB0-3406-BFC3-3FF89D08825F
1) 5F86417DB0B6316E9F99874D779FAA, 85p, 54j (25-10-19), 8s (100-92)
2) 3C0DE91D6F413EC9A6452679B7D987, 82p, 43j (26-4-13), 30s (105-75)
3) 416553ED2FD93233B435CAECDA2DAA, 81p, 48j (23-12-13), 29s (104-75)
4) 1E763EE9EF3233DC9A837115559630, 78p, 42j (24-6-12), 24s (100-76)
5) B6926E5FDAC93D008B2806153F9F83, 74p, 47j (22-8-17), 18s (98-80)
6) 4CB2C673986C335AA96BCCB8811EC8, 68p, 40j (21-5-14), 15s (84-69)
7) DE04C301971C30878432C71C12F53D, 68p, 45j (20-8-17), 6s (92-86)
8) B2A134F1DC0E365B8C53BB01C33AB7, 67p, 41j (20-7-14), 16s (90-74)
9) F2826835DF2B33FFBD37F4D5EE76C3, 66p, 47j (20-6-21), 1s (96-95)
10) F06D904F288431B8827F94467A1A05, 64p, 48j (19-7-22), -1s (96-97)
11) E228EB4BA6A536DEB0F1B4C168EFC1, 56p, 44j (17-5-22), -17s (72-89)
12) DE529EC9CA4E3B429303C2D2D79F03, 55p, 37j (17-4-16), -3s (68-71)
13) E48F615C5CD23135BD63B94952DCBD, 54p, 43j (15-9-19), -5s (84-89)
14) FE3014DB50F83188AC61E96B7D9F34, 53p, 33j (15-8-10), 15s (68-53)
15) 11455E1697D4334A88B01F8E84C9EA, 53p, 43j (14-11-18), -19s (77-96)
16) 10FC505B9B083F3A9DCF1C1ABCC434, 52p, 43j (15-7-21), 2s (98-96)
17) 1F07CD6CDB8A3324B4ACFC07D9665B, 52p, 37j (15-7-15), -3s (65-68)
18) 11EF35CEF3B33892A6461796B53CF9, 48p, 35j (12-12-11), -2s (64-66)
19) 20964209D85733D8ABD9E8F30B877A, 43p, 32j (13-4-15), 3s (67-64)
20) A3B65351AD3D3D0E916D8FB34EB259, 43p, 37j (13-4-20), -25s (68-93)
21) 8474F2952F303D23941DCBDC19C889, 43p, 40j (11-10-19), -23s (67-90)
22) 9A8A21A364583E36AA7127174DE1C7, 42p, 36j (12-6-18), -12s (66-78)
23) 5DC73B32F7C432B5B01AE8168932E7, 40p, 38j (11-7-20), -20s (55-75)
24) C1D4574B973E33E9A6FA7E552BA997, 38p, 28j (11-5-12), 0s (56-56)
25) 9F0811E3A78E31A1955D36BA006EC4, 36p, 32j (11-3-18), -20s (53-73)
26) 7608DFBC64413DF6BD81543FA26F93, 35p, 31j (10-5-16), -17s (50-67)

772C978F-2A21-3272-96D0-46232A8B9043
1) A5A9B90317573CDEBDE946EE8C9B27, 78p, 53j (22-12-19), 1s (123-122)
2) 3C3E7A365F713BDEB35B6758A47F6A, 76p, 44j (22-10-12), 19s (98-79)
3) 3EFBEECF0CB13C3F809429B2BA0F90, 76p, 43j (22-10-11), 18s (88-70)
4) 513F959D11FA3C76924B60853A4E80, 71p, 55j (20-11-24), -12s (106-118)
5) 5D3D2FB087B03BCC965A8923C7ACA3, 71p, 44j (19-14-11), 11s (95-84)
6) 8C7464915BB939BCBE79712E7A7C45, 68p, 53j (18-14-21), -4s (97-101)
7) A1B4E40A64B33E61BFA13F35577709, 67p, 45j (18-13-14), 12s (93-81)
8) 91582935C6FA3357A196F83E9D1C31, 64p, 47j (18-10-19), 3s (95-92)
9) B5E8138279B33727AF98CB3721B37C, 62p, 49j (16-14-19), 6s (103-97)
10) 7095B463F22837B0870118F09420ED, 61p, 36j (18-7-11), 18s (78-60)
11) 0D3F84B763E73E1CB49CF159F576C2, 61p, 41j (17-10-14), 9s (84-75)
12) BB2A404549E63E5292E8BEFDD589EE, 60p, 43j (16-12-15), -1s (89-90)
13) 195BF478730330B38928D0A2D373A4, 57p, 45j (15-12-18), 2s (83-81)
14) C2E1AD7AC8A939E7A0B881969306DC, 55p, 36j (16-7-13), 4s (79-75)
15) 9CE15C8E521E316C84F5F0534DFC8C, 54p, 45j (16-6-23), -22s (79-101)
16) 5612D39B51B03A7FA5D4236F9016B5, 54p, 46j (15-9-22), -12s (84-96)
17) 219E9B65EED333A48DB952162B2BA7, 54p, 44j (13-15-16), -7s (84-91)
18) 670B378095DE38AC849AB5AF90AF87, 53p, 40j (15-8-17), -11s (76-87)
19) 46958C20FDE93CB1BA1E8C02E753E4, 51p, 44j (14-9-21), -16s (74-90)
20) F31FE5BD1E473FCC9914BBE1FDAFDF, 49p, 41j (13-10-18), -10s (74-84)
21) 6B359F05F4F336E3B2A713369845B0, 45p, 36j (14-3-19), -8s (64-72)

0BFF4FDF-D757-37DA-BDDA-DCC657B8CB41
1) 205AD79E34113E4785AA2C72F5B08F, 72p, 40j (22-6-12), 19s (95-76)
2) 4F722637077F38AEB5FC21155F516F, 71p, 44j (22-5-17), 14s (95-81)
3) 3176FF086DF333E8ACF102E935AABE, 58p, 40j (16-10-14), 1s (90-89)
4) A06F61FABA9B3FE89AA9A514D0F530, 57p, 33j (18-3-12), 17s (74-57)
5) CD2EFFEF798432CC821223CAEA12EF, 53p, 38j (16-5-17), -10s (74-84)
6) A583332CC59C34F7B93D1C6C322985, 50p, 31j (14-8-9), 13s (65-52)
7) 1B651FF35DC93C44ABC89808A75111, 49p, 26j (14-7-5), 14s (59-45)
8) 8CBE885AD3BD329EA949EE419EAC5E, 49p, 37j (14-7-16), -8s (71-79)
9) 615ED168908A35B7826A62635E4AAF, 48p, 37j (15-3-19), -2s (67-69)
10) 1BB0BCB5E6D43E098464A585F1CCBC, 48p, 32j (14-6-12), 4s (66-62)
11) 202050781878381DBA33DA6BB0CFF5, 47p, 38j (12-11-15), -8s (65-73)
12) 92D3B96CE28E3D2CAE5A2DE13D3ED6, 46p, 32j (13-7-12), 3s (66-63)
13) 5E1EF988D2D93C1B897FA0D58F0B9D, 45p, 34j (14-3-17), -9s (59-68)
14) 8B5F920CA39037BA88EF65BC839DCC, 43p, 32j (14-1-17), -15s (58-73)
15) 285B8A8B41F8314290155D555FCF4A, 41p, 31j (12-5-14), 1s (60-59)
16) 3931FBD6933A35EB84E9EFFF4B01F0, 39p, 30j (11-6-13), 7s (57-50)
17) C335649BA0FB39A68543116D6423A6, 38p, 29j (11-5-13), 1s (55-54)
18) 42E84ECFA2ED32B5AA5ABDF935CFCC, 37p, 31j (11-4-16), -18s (55-73)
19) 0A364DE0880138C998CD805C17F7C7, 34p, 27j (10-4-13), -6s (53-59)
20) E17AF973B96638D1B46D370A33C1F9, 30p, 32j (8-6-18), -18s (57-75)

A283D07C-8DAE-35A5-8640-03BE180E7DA6
1) 02414CC9E4A238C1AFF003ECD5D7F3, 509p, 359j (143-80-136), 34s (760-726)
2) 5C3AFABC88F23CBDA0FDDAB0EC4087, 485p, 337j (136-77-124), 3s (683-680)
3) F7D3CB5012233C5088A8264CC06BB8, 445p, 340j (124-73-143), -37s (697-734)

